payment_id,order_id,payment_type,payment_installments,payment_value
1,b81ef226f3fe1789b1e8b2acac839d17,credit_card,8,99.33
2,5cfd514482e22bc992e7693f0e3e8df7,voucher,1,45.17
4,ea9184ad433a404df1d72fa0a8764232,voucher,1,22.49
5,591083bc42b589c7052118aa83118e76,voucher,1,20.00
3,b80ba0f0c3d2a63feac0116f533cc6a9,voucher,1,2.99
8,d3f44296d90a42d3ec4b52b18654e87a,voucher,1,3.98
6,4fb76fa13b108a0d0478483421b0992c,voucher,1,10.04
7,370e2e6c1a9fd451eb7f0852daa3b006,voucher,1,6.82
10,3c58bffb70dcf45f12bdf66a3c215905,voucher,1,1.85
11,370e2e6c1a9fd451eb7f0852daa3b006,voucher,1,6.49
17,895ab968e7bb0d5659d16cd74cd1650c,voucher,1,16.70
19,ccf804e764ed5650cd8759557269dc13,voucher,1,1.68
27,fa65dad1b0e818e3ccc5cb0e39231352,voucher,1,66.02
12,6d58638e32674bebee793a47ac4cbadc,voucher,1,13.53
9,67d83bd36ec2c7fb557742fb58837659,voucher,1,8.00
15,fedcd9f7ccdc8cba3a18defedd1a5547,voucher,1,10.66
13,21577126c19bf11a0b91592e5844ba78,voucher,1,4.74
14,21577126c19bf11a0b91592e5844ba78,voucher,1,7.11
16,895ab968e7bb0d5659d16cd74cd1650c,voucher,1,16.70
25,fa65dad1b0e818e3ccc5cb0e39231352,voucher,1,3.68
22,285c2e15bebd4ac83635ccc563dc71f4,voucher,1,1.05
26,ccf804e764ed5650cd8759557269dc13,voucher,1,23.10
29,fa65dad1b0e818e3ccc5cb0e39231352,voucher,1,19.26
28,fa65dad1b0e818e3ccc5cb0e39231352,voucher,1,29.05
18,285c2e15bebd4ac83635ccc563dc71f4,voucher,1,1.70
21,895ab968e7bb0d5659d16cd74cd1650c,voucher,1,0.28
24,ccf804e764ed5650cd8759557269dc13,voucher,1,2.79
23,ccf804e764ed5650cd8759557269dc13,voucher,1,1.03
20,ccf804e764ed5650cd8759557269dc13,voucher,1,0.99
